,,,Healthy.T2.004,Healthy.T2.010,Healthy.T3.014,Healthy.T3.015,Healthy.T3.017,Healthy.T3.019,Healthy.T2.033,Unhealthy.T2.012,Unhealthy.T3.018,Unhealthy.T3.022,Unhealthy.T3.044,Unhealthy.T3.051,Unhealthy.T3.052,Unhealthy.T3.053,AVEUNHEALTHY
Prevotellaceae;g,NA;s,sp14135,0,0,0,0,0,0,0,0,0,0.002180945271,0,0,0,0,0.0003115636102
Prevotellaceae;g,NA;s,sp14157,0,0,0,0,0.001711506125,0,0,0,0,0,0,0,0,0,0
Prevotellaceae;g,Paraprevotella;s,clara,0,0.0002245326304,0,0,0,0,0,0,0,0,0,0.002190460544,0,0,0.0003129229349
Prevotellaceae;g,Paraprevotella;s,sp13528,0,0.001571728413,0,0,0,0,0,0.008377425044,0,0,0,0,0,0,0.001196775006
Prevotellaceae;g,Prevotella;s,bivia,0,0,0,0,0,0,0,0.0003371719058,0,0,0,0,0,0,0.00004816741511
Prevotellaceae;g,Prevotella;s,copri,0.0001572174923,0,0,0,0.1131095364,0,0,0,0,0.2164112472,0,0,0,0,0.03091589246
Prevotellaceae;g,Prevotella;s,copri-sp13942,0,0,0,0,0.08608575546,0,0,0,0,0.02403430964,0,0,0,0,0.003433472805
Prevotellaceae;g,Prevotella;s,disiens,0,0,0,0,0,0,0,0.0001945222533,0,0,0,0,0,0,0.00002778889334
Rikenellaceae;g,Alistipes;s,finegoldii,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004786255888,0.00006837508412
Rikenellaceae;g,Alistipes;s,indistinctus,0,0,0,0,0,0,0.0002554686253,0,0,0,0,0,0,0,0
Rikenellaceae;g,Alistipes;s,onderdonkii,0,0,0.001252389427,0,0,0,0.001628612486,0,0,0,0.01643434753,0,0,0,0.002347763932
Rikenellaceae;g,Alistipes;s,putredinis,0,0.001923170791,0,0,0.01264112419,0,0,0.0002723311547,0,0.003542206414,0.005134100618,0.00865231915,0,0,0.002514422477
Rikenellaceae;g,Alistipes;s,senegalensis,0,0,0,0,0,0,0.0001277343126,0,0,0,0.0009797901943,0,0,0,0.0001399700278
Rikenellaceae;g,Alistipes;s,shahii,0,0.000244057207,0,0.0006342540953,0.000600528465,0,0,0,0,0.000497665364,0.002064091343,0.002117445193,0.0005599104143,0,0.0007484446162
Rikenellaceae;g,Alistipes;s,timonensis,0.005647736068,0,0.0004174631424,0,0,0,0,0,0,0,0,0.0008031688663,0,0,0.0001147384095
NA;g,NA;s,NA,0,0,0,0,0,0.0001644343459,0,0,0,0,0,0,0,0,0
Bacillaceae;g,Bacillus;s,mojavensis-subtilis-tequilensis,0,0,0,0.0002405791396,0,0,0,0,0,0,0,0,0,0,0
Bacillaceae;g,Bacillus;s,NA,0,0,0,0,0,0,0,0.0003890445067,0,0,0.0003135328622,0,0,0,0.0001003681956
FamilyXI;g,Gemella;s,sanguinis,0,0,0,0,0,0,0.0001490233647,0,0,0,0,0,0,0,0
Staphylococcaceae;g,Staphylococcus;s,capitis-caprae-epidermidis,0.000145123839,0,0,0,0,0,0,0,0,0.0002341954654,0,0,0,0,0.00003345649506
Staphylococcaceae;g,Staphylococcus;s,epidermidis-hominis,0,0,0,0,0,0,0,0.0001685859529,0,0,0.0002351496466,0,0,0,0.00005767651422
Carnobacteriaceae;g,Granulicatella;s,adiacens,0,0,0.0002416891877,0,0.0003302906558,0,0.0002661131513,0.0001945222533,0,0,0.0002612773851,0,0,0,0.00006511423407
Enterococcaceae;g,Enterococcus;s,asini,0,0,0,0.0005686416027,0,0,0,0,0,0,0,0,0,0,0
Enterococcaceae;g,Enterococcus;s,faecalis,0.0009674922601,0,0,0,0,0,0.0001703124168,0,0,0,0,0,0,0,0
Enterococcaceae;g,Enterococcus;s,gallinarum-saccharolyticus,0,0,0,0,0,0,0,0,0.0006017249448,0,0,0,0,0,0.00008596070641
Enterococcaceae;g,Enterococcus;s,NA,0.00141495743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillaceae;g,Lactobacillus;s,casei,0.002624322755,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillaceae;g,Lactobacillus;s,casei-paracasei,0.008042279412,0,0,0,0,0,0.0006280270371,0,0,0,0,0,0,0,0
Lactobacillaceae;g,Lactobacillus;s,gasseri,0,0,0,0,0,0,0.0005854489329,0,0,0,0,0,0,0,0
Lactobacillaceae;g,Lactobacillus;s,oris,0,0,0,0,0,0,0.0001277343126,0,0,0,0,0,0,0,0
Lactobacillaceae;g,Lactobacillus;s,sakei,0.0002660603715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillaceae;g,Lactobacillus;s,salivarius,0,0.00346561234,0,0,0,0,0.0002448240992,0,0,0.0001902838156,0,0,0,0,0.00002718340223
Leuconostocaceae;g,Leuconostoc;s,lactis,0.001294020898,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuconostocaceae;g,Leuconostoc;s,mesenteroides,0,0,0.0003076044207,0,0,0,0,0,0,0,0,0,0,0,0
Leuconostocaceae;g,Weissella;s,cibaria-confusa,0.0007498065015,0.0003807292429,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcaceae;g,Lactococcus;s,formosensis-garvieae,0.01035216718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcaceae;g,Lactococcus;s,lactis,0.0009070239938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcaceae;g,Streptococcus;s,agalactiae,0,0,0,0.0002405791396,0,0,0,0,0,0,0,0,0,0,0
Streptococcaceae;g,Streptococcus;s,anginosus,0.0001572174923,0.0002245326304,0,0,0.000360317079,0,0.0002341795732,0,0,0,0,0,0,0,0
Streptococcaceae;g,Streptococcus;s,australis-parasanguinis,0,0,0,0,0,0,0.000415136516,0,0,0,0,0,0,0,0
Streptococcaceae;g,Streptococcus;s,australis-rubneri,0,0,0,0,0,0,0,0,0,0,0,0,0.0002911534155,0,0.00004159334506
Streptococcaceae;g,Streptococcus;s,cristatus,0,0,0,0,0.0006605813116,0,0,0,0,0,0,0,0,0,0
Streptococcaceae;g,Streptococcus;s,equinus,0,0,0,0,0,0.0002391772303,0,0,0,0,0,0,0,0,0
Streptococcaceae;g,Streptococcus;s,equinus-infantarius-lutetiensis,0,0,0,0,0,0.043350873,0,0,0,0,0,0,0,0,0
Streptococcaceae;g,Streptococcus;s,gordonii,0,0,0,0,0,0,0,0,0,0,0.0003004689929,0,0,0,0.00004292414184
Streptococcaceae;g,Streptococcus;s,infantis-sanguinis,0,0,0.0002856326764,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcaceae;g,Streptococcus;s,mitis-oralis-sanguinis,0.000145123839,0,0,0,0.0004203699255,0,0.0005854489329,0,0,0,0.0007577044169,0,0.0003807390817,0,0.0001626347855
